Sequencial;Regiao;UF;Partido;Nr;Candidato;Nome eleitoral;Idade;Situacao;Sexo;QE;base.oposicao.neutro;Grau de instrucao;Ocupacao;Eleito em 2010;Receitas em 2014;Nominais;Custo.Voto
128;NE;BA;PT;1300;LUIZ CARLOS CAETANO;CAETANO;60;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;FARMACEUTICO;Nao;2933087.31;125862;
129;NE;BA;PTB;1410;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO;ANTONIO BRITO;45;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1293228.98;159840;
130;NE;BA;PP;1115;CARLOS FELIPE VAZQUEZ DE SOUZA LE«O;CACA LE«O;34;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ADMINISTRADOR;Nao;2094970.72;125605;
131;NE;BA;PSD;5500;JOSê CARLOS LE«O DE ARAUJO;JOSê CARLOS ARAUJO;69;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR INCOMPLETO;DEPUTADO;Nao;1225075.56;72013;
132;NE;BA;PTB;1400;BENITO DA GAMA SANTOS;BENITO GAMA;66;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;ECONOMISTA;Nao;5979284.14;71372;
133;NE;BA;PP;1111;MARIO SILVIO MENDES NEGROMONTE JÈNIOR;MARIO NEGROMONTE JR;34;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ADVOGADO;Nao;1607840.05;169215;
134;NE;BA;DEM;2555;JOSê CARLOS ALELUIA COSTA;ALELUIA;66;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;OUTROS;Nao;3523080;101924;
135;NE;CE;PTB;1451;JOSE ARNON CRUZ BEZERRA DE MENEZES;ARNON BEZERRA;63;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;426457.51;84474;
136;NE;CE;PMDB;1590;VITOR PEREIRA VALIM;VITOR VALIM;36;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR INCOMPLETO;JORNALISTA E REDATOR;Nao;322452.19;92499;
137;NE;CE;PHS;3131;JOSE ADAIL CARNEIRO SILVA;ADAIL CARNEIRO;51;ELEITO POR QP;MASCULINO;Nao;O;ENSINO MêEDIO COMPLETO;EMPRESARIO;Nao;685357.51;113885;
138;NE;CE;PMDB;1500;ANIBAL FERREIRA GOMES;ANIBAL;61;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;229600;173736;
139;NE;CE;PT;1331;LUIZ ODORICO MONTEIRO DE ANDRADE;ODORICO;53;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;Nao;780165.01;121640;
140;NE;CE;PT;1333;JOSE AIRTON FELIX CIRILO DA SILVA;JOSê AIRTON;57;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ADVOGADO;Sim;431018.82;94056;
141;NE;CE;PDT;1234;ANDRE PEIXOTO FIGUEIREDO LIMA;ANDRê FIGUEIREDO;47;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ECONOMISTA;Sim;1040950;125360;
142;NE;CE;PSL;1777;JOSE MARIA MACEDO JUNIOR;MACEDO;54;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR INCOMPLETO;INDUSTRIAL;Nao;1021000;107734;
143;NE;CE;PT;1322;JOSE NOBRE GUIMAR«ES;JOSEê GUIMARAES;55;ELEITO POR QP;MASCULINO;Sim;B;SUPERIOR COMPLETO;ADVOGADO;Nao;1610171.3;209032;
144;NE;CE;PROS;9099;JOSE LEONIDAS DE MENEZES CRISTINO;LEONIDAS CRISTINO;57;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ENGENHEIRO;Nao;1281456.84;91085;
145;NE;CE;SD;7777;GENECIAS MATEUS NORONHA;GENECIAS NORONHA;51;ELEITO POR QP;MASCULINO;Sim;O;ENSINO MêEDIO COMPLETO;DEPUTADO;Sim;822660;221567;
146;NE;CE;PRB;1010;RONALDO MANCHADO MARTINS;RONALDO MARTINS;36;ELEITO POR QP;MASCULINO;Nao;B;ENSINO MêEDIO COMPLETO;DEPUTADO;Nao;1300757.51;117930;
147;NE;CE;PT;1313;LUIZIANNE DE OLIVEIRA LINS;LUIZIANNE LINS;45;ELEITO POR QP;FEMININO;Nao;B;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;Nao;732340.45;130717;
148;NE;CE;PPS;2323;MOSES HAENDEL MELO RODRIGUES;MOSES RODRIGUES;36;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;EMPRESARIO;Nao;629806.84;147044;
149;NE;CE;PMDB;1513;FRANCISCO DANILO BASTOS FORTE;DANILO FORTE;56;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2476971.68;180157;
150;NE;CE;PC do B;6565;FRANCISCO LOPES DA SILVA;CHICO LOPES;75;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1643012.52;80578;
151;NE;CE;PROS;9090;DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;26;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR INCOMPLETO;DEPUTADO;Sim;917857.51;185226;
152;NE;CE;PR;2233;MARIA GORETE PEREIRA;GORETE PEREIRA;62;ELEITO POR QP;FEMININO;Nao;B;SUPERIOR COMPLETO;FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;Sim;1470590;130983;
153;NE;CE;PSDB;4511;RAIMUNDO GOMES DE MATOS;RAIMUNDO MATOS;63;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;866101.4;95145;
154;NE;CE;PR;2290;FLAVIO ALVES SABINO;CABO SABINO;43;ELEITO POR QP;MASCULINO;Nao;B;ENSINO MêEDIO COMPLETO;CORRETOR DE IMOVEIS. SEGUROS. TITULOS E VALORES;Nao;122176.4;120485;
155;NE;CE;PROS;9000;ANTONIO BALHMANN CARDOSO NUNES FILHO;BALMAN;65;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ENGENHEIRO;Sim;2273057.51;87666;
156;NE;CE;DEM;2525;MORONI BING TORGAN;MORONI;58;ELEITO POR QP;MASCULINO;Sim;O;SUPERIOR COMPLETO;SERVIDOR PÈBLICO CIVIL APOSENTADO;Nao;1118282.48;277774;
157;SE;ES;SD;7777;CARLOS HUMBERTO MANNATO;MANATO;57;ELEITO POR MêDIA;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;859482.58;67631;
158;SE;ES;PDT;1212;ANTONIO SERGIO ALVES VIDIGAL;SERGIO VIDIGAL;57;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;MêDICO;Nao;1312637.41;161744;
159;SE;ES;PP;1145;MARCUS ANT‚NIO VICENTE;MARCUS VICENTE;60;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;REPRESENTANTE COMERCIAL;Nao;1426575.74;45525;
160;SE;ES;PROS;9090;JORGE SILVA;DR. JORGE SILVA;62;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;MêDICO;Sim;486755.54;69880;
161;SE;ES;PT;1320;GIVALDO VIEIRA DA SILVA;GIVALDO;44;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;ADVOGADO;Nao;650692.52;50928;
162;SE;ES;PV;4343;EVAIR VIEIRA DE MELO;EVAIR DE MELO;42;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;TêCNICO EM AGRONOMIA E AGRIMENSURA;Nao;303216.25;48829;
163;SE;ES;PSB;4040;PAULO ROBERTO FOLETTO;FOLETTO;58;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;MêDICO;Sim;623126.62;88110;
164;SE;ES;PT;1350;HELDER IGNACIO SALOMAO;HELDER SALOMAO;50;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;Nao;441632.57;83967;
165;SE;ES;PSDB;4500;MAX FREITAS MAURO FILHO;MAX FILHO;46;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;SERVIDOR PÈBLICO FEDERAL;Nao;537859.26;91210;
166;SE;ES;PMDB;1515;WELINGTON COIMBRA;LELO COIMBRA;60;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;MêDICO;Sim;2237582.62;94759;
167;CO;GO;PSDB;4555;ALEXANDRE BALDY DE SANT'ANNA BRAGA;ALEXANDRE BALDY;34;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;INDUSTRIAL;Nao;5484143.06;107544;
168;CO;GO;PDT;1212;FLAVIA CARREIRO ALBUQUERQUE MORAIS;FLAVIA MORAIS;45;ELEITO POR QP;FEMININO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;957607.54;159122;
169;CO;GO;PSD;5545;THIAGO MELLO PEIXOTO DA SILVEIRA;THIAGO PEIXOTO;40;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2285068.21;79666;
170;CO;GO;PSD;5500;HEULER ABREU CRUVINEL;HEULER CRUVINEL;36;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3488196.74;90877;
171;CO;GO;PSDB;4545;GIUSEPPE VECCI;GIUSEPPE VECCI;57;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;ECONOMISTA;Nao;2506578;120283;
172;CO;GO;PTB;1414;JOVAIR OLIVEIRA ARANTES;JOVAIR ARANTES;63;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;1502587.02;92945;
173;CO;GO;PMDB;1510;DANIEL ELIAS CARVALHO VILELA;DANIEL VILELA;30;ELEITO POR QP;MASCULINO;Sim;B;SUPERIOR COMPLETO;DEPUTADO;Nao;4012526.2;179214;
174;CO;GO;PSDB;4578;FABIO FERNANDES DE SOUSA;FABIO SOUSA;32;ELEITO POR MêDIA;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Nao;1414044;82204;
175;CO;GO;PSDB;4599;CêLIO ANT‚NIO DA SILVEIRA;CêLIO SILVEIRA;55;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;MêDICO;Nao;1911765.11;110992;
176;CO;GO;PMDB;1580;PEDRO PINHEIRO CHAVES;PEDRO CHAVES;56;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1064350;77925;
177;CO;GO;PT;1313;RUBENS OTONI GOMIDE;RUBENS OTONI;58;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1091442.41;115874;
178;CO;GO;PSDB;4565;JOAO CAMPOS DE ARAUJO;JOAO CAMPOS;51;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;1218219.6;107344;
179;CO;GO;PP;1105;ROBERTO EGIDIO BALESTRA;ROBERTO BALESTRA;70;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2943999.22;85534;
180;CO;GO;PR;2222;MAGDA MOFATTO HON;MAGDA MOFATTO;65;ELEITO POR QP;FEMININO;Nao;B;ENSINO FUNDAMENTAL INCOMPLETO;DEPUTADO;Nao;4565423;118458;
181;CO;GO;PPS;2345;MARCOS ABRAO RORIZ SOARES DE CARVALHO;MARCOS ABR«O;43;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;ECONOMISTA;Nao;5526035.9;92347;
182;CO;GO;PSDB;4500;WALDIR SOARES DE OLIVEIRA;DELEGADO WALDIR;51;ELEITO POR QP;MASCULINO;Sim;O;ENSINO MêEDIO COMPLETO;POLICIAL CIVIL;Nao;373249.72;274625;
183;CO;GO;SD;7777;LUCAS DE CASTRO SANTOS;LUCAS VERGILIO;27;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;CORRETOR DE IMOVEIS. SEGUROS. TITULOS E VALORES;Nao;2222031.6;78387;
184;SE;MG;PMN;3333;D∂MINA DE CARVALHO PEREIRA;D∂MINA PEREIRA;61;ELEITO POR QP;FEMININO;Nao;O;ENSINO MêEDIO COMPLETO;EMPRESARIO;Nao;3395427.85;53986;
185;SE;MG;SD;7777;JOSê SILVA SOARES;Zê SILVA;51;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Nao;1418428.18;115135;
186;SE;MG;PR;2245;OLAVO BILAC PINTO NETO;BILAC PINTO;51;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2090314.57;128228;
187;SE;MG;PT;1311;GABRIEL GUIMARAES DE ANDRADE;GABRIEL GUIMARAES;31;ELEITO POR QP;MASCULINO;Sim;B;SUPERIOR COMPLETO;DEPUTADO;Nao;2489317.96;204851;
188;SE;MG;PT;1350;ADELMO CARNEIRO LEAO;ADELMO LEAO;65;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;918731.74;58901;
189;SE;MG;PR;2233;LINCOLN DINIZ PORTELA;LINCOLN PORTELA;60;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR INCOMPLETO;DEPUTADO;Sim;1629742.03;103287;
190;SE;MG;PSB;4010;SêRGIO LUCIO DE ALMEIDA;TENENTE LÈCIO;54;ELEITO POR MêDIA;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Nao;998330.88;74791;
191;SE;MG;PSD;5545;MARCOS MONTES CORDEIRO;MARCOS MONTES;65;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3180491.28;126330;
192;SE;MG;PT;1363;JOSE LEONARDO COSTA MONTEIRO;LEONARDO MONTEIRO;62;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1267482.43;118739;
193;SE;MG;PT;1391;WELITON FERNANDES PRADO;WELITON PRADO;39;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1997252.86;190310;
194;SE;MG;PSD;5555;DIEGO LEONARDO DE ANDRADE CARVALHO;DIEGO ANDRADE;37;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1339009.63;116429;
195;SE;MG;PC do B;6565;MARIA DO SOCORRO J‚ MORAES;J‚ MORAES;68;ELEITO POR MêDIA;FEMININO;Nao;B;SUPERIOR INCOMPLETO;SERVIDOR PÈBLICO FEDERAL;Nao;896646.94;78425;
196;SE;MG;PSB;4050;JULIO CESAR DELGADO;JULIO DELGADO;47;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;1760853.34;86519;
197;SE;MG;PRB;1010;GEORGE HILTON DOS SANTOS CECILIO;GEORGE HILTON;43;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;496929.77;150330;
198;SE;MG;PT;1312;REGINALDO LAZARO DE OLIVEIRA LOPES;REGINALDO LOPES;41;ELEITO POR QP;MASCULINO;Sim;B;SUPERIOR COMPLETO;DEPUTADO;Nao;4503489.08;328933;
199;SE;MG;PSDB;4535;EDUARDO LUIZ BARROS BARBOSA;EDUARDO BARBOSA;56;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;520953.75;133381;
200;SE;MG;PT;1333;PATRUS ANANIAS DE SOUSA;PATRUS ANANIAS;62;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;SERVIDOR PÈBLICO ESTADUAL;Nao;1424880.63;149547;
201;SE;MG;PP;1199;ODELMO LE«O CARNEIRO SOBRINHO;ODELMO LE«O;68;ELEITO POR QP;MASCULINO;Nao;B;ENSINO MêDIO INCOMPLETO;PECUARISTA;Nao;1066172;179691;
202;SE;MG;PSC;2010;TANIA RAQUEL DE QUEIROZ MUNIZ;RAQUEL MUNIZ;51;ELEITO POR QP;FEMININO;Nao;O;SUPERIOR COMPLETO;MêDICO;Nao;3430462.63;99221;
203;SE;MG;PDT;1231;LUIZ GONZAGA RIBEIRO;SUB-TENENTE GONZAGA;52;ELEITO POR QP;MASCULINO;Nao;B;ENSINO MêEDIO COMPLETO;DEPUTADO;Nao;259584.28;98263;
204;SE;MG;PT;1330;MIGUEL CORREA DA SILVA JUNIOR;MIGUEL CORREA;36;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2789735.1;95023;
205;SE;MG;PSDB;4520;CAIO NARCIO RODRIGUES DA SILVEIRA;CAIO NARCIO;28;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;OUTROS;Nao;4053221.63;102466;
206;SE;MG;DEM;2505;MISAEL ARTUR FERREIRA VARELLA;MISAEL VARELLA;54;ELEITO POR QP;MASCULINO;Sim;O;SUPERIOR COMPLETO;EMPRESARIO;Nao;1561188.04;265444;
207;SE;MG;PMDB;1511;MAURO RIBEIRO LOPES;MAURO LOPES;78;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3158428.85;138146;
208;SE;MG;PMDB;1590;JOSê SARAIVA FELIPE;SARAIVA FELIPE;62;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;MêDICO;Nao;4191124.06;117720;
209;SE;MG;PR;2222;AELTON JOSê DE FREITAS;AELTON FREITAS;52;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR INCOMPLETO;DEPUTADO;Nao;1817657.03;92782;
210;SE;MG;PTC;3645;BRUNIELE FERREIRA DA SILVA;BRUNNY;25;ELEITO POR MêDIA;FEMININO;Nao;O;SUPERIOR COMPLETO;OUTROS;Nao;1590524.47;46430;
211;SE;MG;PSDB;4566;BONIFACIO JOSê TAMM DE ANDRADA;BONIFACIO ANDRADA;84;ELEITO POR MêDIA;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Nao;1207081.2;86100;
212;SE;MG;PSD;5550;JAIME MARTINS FILHO;JAIMINHO MARTINS;61;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;EMPRESARIO;Sim;1796009.48;161214;
213;SE;MG;PTN;1907;EDSON MOREIRA DA SILVA;DELEGADO EDSON MOREIRA;55;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;VEREADOR;Nao;184373.69;51450;
214;SE;MG;PRP;4433;MARCELO HENRIQUE TEIXEIRA DIAS;MARCELO ALVARO ANTONIO;40;ELEITO POR QP;MASCULINO;Nao;O;ENSINO MêEDIO COMPLETO;EMPRESARIO;Nao;890156.1;60589;
215;SE;MG;PTB;1433;EROS FERREIRA BIONDINI;EROS BIONDINI;43;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;776009.15;182231;
216;SE;MG;PT;1314;MARIA MARGARIDA MARTINS SALOM«O;MARGARIDA SALOM«O;64;ELEITO POR QP;FEMININO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;310992.86;80592;
217;SE;MG;PSDB;4555;MARCUS VINICIUS CAETANO PESTANA DA SILVA;MARCUS PESTANA;54;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;2499271.96;148114;
218;SE;MG;PT do B;7070;LUIS HENRIQUE DE OLIVEIRA RESENDE;LUIS TIBE;43;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR INCOMPLETO;DEPUTADO;Sim;2068391.59;117314;
219;SE;MG;PMDB;1515;RODRIGO OTAVIO SOARES PACHECO;RODRIGO PACHECO;37;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ADVOGADO;Nao;3811199.61;96283;
220;SE;MG;PSB;4044;STEFANO AGUIAR DOS SANTOS;STEFANO AGUIAR;38;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;Nao;390185.35;149302;
221;SE;MG;PP;1121;RENZO DO AMARAL BRAZ;RENZO BRAZ;34;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3734836.79;118116;
222;SE;MG;PHS;3133;MARCELO GUILHERME DE ARO FERREIRA;MARCELO ARO;27;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;VEREADOR;Nao;1132727.32;87363;
223;SE;MG;PSDB;4545;PAULO ABI-ACKEL;PAULO ABI-ACKEL;51;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;ADVOGADO;Sim;4205979.45;105616;
224;SE;MG;PP;1122;ANT‚NIO PINHEIRO JÈNIOR;TONINHO PINHEIRO;54;ELEITO POR QP;MASCULINO;Nao;B;ENSINO FUNDAMENTAL COMPLETO;EMPRESARIO;Nao;4363338.66;152228;
225;SE;MG;PDT;1234;MARIO LUCIO HERINGER;MARIO HERINGER;60;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;MêDICO;Nao;2920159.32;94285;
226;SE;MG;PMDB;1500;LEONARDO LEMOS BARROS QUINT«O;LEONARDO QUINT«O;39;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;4953956.4;123709;
227;SE;MG;DEM;2555;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;67;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;2258410.91;111027;
228;SE;MG;PV;4311;FABIO AUGUSTO RAMALHO DOS SANTOS;FABINHO RAMALHO;52;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;2403487.59;84545;
229;SE;MG;PT;1315;JO«O CARLOS SIQUEIRA;PADRE JO«O;47;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;521032.05;114944;
230;SE;MG;PT;1307;ODAIR JOSE DA CUNHA;ODAIR CUNHA;38;ELEITO POR QP;MASCULINO;Sim;B;SUPERIOR COMPLETO;DEPUTADO;Sim;3084049.74;207565;
231;SE;MG;PSDB;4560;DOMINGOS SAVIO CAMPOS RESENDE;DOMINGOS SAVIO;57;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;1959920.23;147828;
232;SE;MG;PMDB;1580;LAUDIVIO ALVARENGA CARVALHO;LAUDIVIO CARVALHO;52;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;JORNALISTA E REDATOR;Nao;319003.4;79294;
233;SE;MG;PSDB;4550;RODRIGO BATISTA DE CASTRO;RODRIGO DE CASTRO;43;ELEITO POR QP;MASCULINO;Sim;O;SUPERIOR COMPLETO;ADVOGADO;Sim;4591009.55;302110;
234;SE;MG;PMDB;1510;NEWTON CARDOSO JÈNIOR;NEWTON CARDOSO JR;34;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;EMPRESARIO;Nao;1818364.16;133155;
235;SE;MG;PP;1145;LUIZ FERNANDO RAMOS FARIA;LUIZ FERNANDO;57;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;4342467.35;118455;
236;SE;MG;PP;1111;DIMAS FABIANO TOLEDO JÈNIOR;DIMAS FABIANO;41;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;2607639.02;135557;
237;CO;MT;PT;1313;SAGUAS MORAES SOUSA;SAGUAS MORAES;51;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;993942.79;97858;
238;CO;MT;PMDB;1515;CARLOS GOMES BEZERRA;CARLOS BEZERRA;72;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;1686109.04;95739;
239;CO;MT;PSB;4045;ADILTON DOMINGOS SACHETTI;ADILTON SACHETTI;58;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;PRODUTOR AGROPECUARIO;Nao;3860361.98;112722;
240;CO;MT;PP;1111;EZEQUIEL ANGELO FONSECA;EZEQUIEL FONSECA;50;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;2592295.31;90888;
241;CO;MT;PSB;4010;FABIO PAULINO GARCIA;FABIO GARCIA;37;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;EMPRESARIO;Nao;3065112.22;104976;
242;CO;MT;PSC;2020;VICTORIO GALLI FILHO;PROFESSOR VICTORIO GALLI;53;ELEITO POR MêDIA;MASCULINO;Nao;O;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;Nao;814880.18;64691;
243;CO;MT;PROS;9090;VALTENIR LUIZ PEREIRA;VALTENIR PEREIRA;42;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;320497.15;62923;
244;CO;MT;PSDB;4500;NILSON APARECIDO LEIT«O;NILSON LEIT«O;45;ELEITO POR QP;MASCULINO;Nao;O;ENSINO MêEDIO COMPLETO;DEPUTADO;Nao;2460139.11;127749;
245;N;PA;PT;1313;JOSE ROBERTO OLIVEIRA FARO;BETO FARO;45;ELEITO POR QP;MASCULINO;Nao;B;ENSINO FUNDAMENTAL COMPLETO;AGRICULTOR;Sim;599572.43;142970;
246;N;PA;PT;1321;JOSE GERALDO TORRES DA SILVA;Zê GERALDO;52;ELEITO POR QP;MASCULINO;Nao;B;ENSINO FUNDAMENTAL COMPLETO;DEPUTADO;Sim;766819.99;105151;
247;N;PA;DEM;2525;HELIO LEITE DA SILVA;HêLIO LEITE;56;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;CORRETOR DE IMOVEIS. SEGUROS. TITULOS E VALORES;Nao;337807.59;85194;
248;N;PA;PSDB;4590;NILSON PINTO DE OLIVEIRA;NILSON PINTO;62;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;840231.71;193573;
249;N;PA;PTB;1456;JOSUê BENGTSON;JOSUê BENGTSON;70;ELEITO POR QP;MASCULINO;Nao;B;ENSINO FUNDAMENTAL COMPLETO;DEPUTADO;Nao;290591.66;122995;
250;N;PA;PMDB;1555;JOSê BENITO PRIANTE JUNIOR;PRIANTE;50;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;462650;122348;
251;N;PA;PR;2222;LUCIO DUTRA VALE;LUCIO VALE;41;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;443475.55;148163;
252;N;PA;PSC;2020;JULIA MARIA GODINHO DA CRUZ MARINHO;JULIA MARINHO;54;ELEITO POR QP;FEMININO;Nao;O;SUPERIOR COMPLETO;PEDAGOGO;Nao;142203.33;86949;
253;N;PA;PSD;5555;JOAQUIM PASSARINHO PINTO DE SOUZA;JOAQUIM PASSARINHO;52;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;ARQUITETO;Nao;341088.66;76148;
